#vin	V(vpos)-V(n002)
0.000000000000000e+000	3.000000e+000
1.000000000000000e-002	2.991818e+000
2.000000000000000e-002	2.983636e+000
3.000000000000000e-002	2.975455e+000
4.000000000000000e-002	2.967273e+000
5.000000000000000e-002	2.959091e+000
6.000000000000001e-002	2.950909e+000
7.000000000000001e-002	2.942727e+000
8.000000000000000e-002	2.934545e+000
9.000000000000000e-002	2.926364e+000
9.999999999999999e-002	2.918182e+000
1.100000000000000e-001	2.910000e+000
1.200000000000000e-001	2.901818e+000
1.300000000000000e-001	2.893636e+000
1.400000000000000e-001	2.885455e+000
1.500000000000000e-001	2.877273e+000
1.600000000000000e-001	2.869091e+000
1.700000000000000e-001	2.860909e+000
1.800000000000000e-001	2.852727e+000
1.900000000000000e-001	2.844545e+000
2.000000000000000e-001	2.836364e+000
2.100000000000001e-001	2.828182e+000
2.200000000000001e-001	2.820000e+000
2.300000000000001e-001	2.811818e+000
2.400000000000001e-001	2.803636e+000
2.500000000000001e-001	2.795455e+000
2.600000000000001e-001	2.787273e+000
2.700000000000001e-001	2.779091e+000
2.800000000000001e-001	2.770909e+000
2.900000000000001e-001	2.762727e+000
3.000000000000001e-001	2.754545e+000
3.100000000000001e-001	2.746364e+000
3.200000000000001e-001	2.738182e+000
3.300000000000001e-001	2.730000e+000
3.400000000000001e-001	2.721818e+000
3.500000000000001e-001	2.713636e+000
3.600000000000002e-001	2.705455e+000
3.700000000000002e-001	2.697273e+000
3.800000000000002e-001	2.689091e+000
3.900000000000002e-001	2.680909e+000
4.000000000000002e-001	2.672727e+000
4.100000000000002e-001	2.664545e+000
4.200000000000002e-001	2.656364e+000
4.300000000000002e-001	2.648182e+000
4.400000000000002e-001	2.640000e+000
4.500000000000002e-001	2.631818e+000
4.600000000000002e-001	2.623636e+000
4.700000000000003e-001	2.615455e+000
4.800000000000003e-001	2.607273e+000
4.900000000000003e-001	2.599091e+000
5.000000000000002e-001	2.590909e+000
5.100000000000002e-001	2.582727e+000
5.200000000000002e-001	2.574545e+000
5.300000000000003e-001	2.566364e+000
5.400000000000003e-001	2.558182e+000
5.500000000000003e-001	2.550000e+000
5.600000000000003e-001	2.541818e+000
5.700000000000003e-001	2.533636e+000
5.800000000000003e-001	2.525455e+000
5.900000000000003e-001	2.517273e+000
6.000000000000003e-001	2.509091e+000
6.100000000000003e-001	2.500909e+000
6.200000000000003e-001	2.492727e+000
6.300000000000003e-001	2.484545e+000
6.400000000000004e-001	2.476364e+000
6.500000000000004e-001	2.468182e+000
6.600000000000004e-001	2.460000e+000
6.700000000000004e-001	2.451818e+000
6.800000000000004e-001	2.443636e+000
6.900000000000004e-001	2.435455e+000
7.000000000000004e-001	2.427273e+000
7.100000000000004e-001	2.419091e+000
7.200000000000004e-001	2.410909e+000
7.300000000000004e-001	2.402727e+000
7.400000000000004e-001	2.394545e+000
7.500000000000004e-001	2.386364e+000
