#time	V(n002)
0.000000000000000e+000	0.000000e+000
4.330102856394663e-006	7.938151e-002
8.660205712789326e-006	1.585582e-001
1.299030856918399e-005	2.375302e-001
1.732041142557865e-005	3.162973e-001
2.165051428197332e-005	3.948597e-001
2.598061713836798e-005	4.732172e-001
3.031071999476263e-005	5.513700e-001
3.502500570904834e-005	6.360138e-001
3.973929142333404e-005	7.199175e-001
4.445357713761974e-005	8.030811e-001
4.916786285190544e-005	8.855046e-001
5.388214856619115e-005	9.671880e-001
5.859643428047685e-005	1.048131e+000
6.331071999476254e-005	1.128335e+000
6.431071999476254e-005	1.145184e+000
6.731071999476253e-005	1.195459e+000
7.031071999476252e-005	1.245310e+000
7.331071999476252e-005	1.294718e+000
7.631071999476251e-005	1.343665e+000
7.831071999476250e-005	1.376033e+000
8.031071999476250e-005	1.408184e+000
8.231071999476249e-005	1.440112e+000
8.431071999476248e-005	1.471812e+000
8.631071999476248e-005	1.503281e+000
8.731071999476248e-005	1.518926e+000
8.831071999476247e-005	1.534512e+000
8.931071999476247e-005	1.550037e+000
9.031071999476247e-005	1.565500e+000
9.131071999476246e-005	1.580902e+000
9.231071999476246e-005	1.596242e+000
9.331071999476246e-005	1.611518e+000
9.431071999476246e-005	1.626731e+000
9.531071999476245e-005	1.641879e+000
9.631071999476245e-005	1.656963e+000
9.731071999476245e-005	1.671982e+000
9.831071999476245e-005	1.686934e+000
9.931071999476244e-005	1.701820e+000
1.003107199947624e-004	1.716638e+000
1.013107199947624e-004	1.731389e+000
1.023107199947624e-004	1.746072e+000
1.033107199947624e-004	1.760685e+000
1.043107199947624e-004	1.775229e+000
1.053107199947624e-004	1.789703e+000
1.063107199947624e-004	1.804109e+000
1.123107199947624e-004	1.892986e+000
1.183107199947624e-004	1.976546e+000
1.243107199947624e-004	2.054789e+000
1.303107199947624e-004	2.127716e+000
1.363107199947624e-004	2.195325e+000
1.423107199947624e-004	2.257618e+000
1.483107199947623e-004	2.314593e+000
1.580250057090480e-004	2.379341e+000
1.677392914233337e-004	2.435124e+000
1.774535771376194e-004	2.481942e+000
1.871678628519051e-004	2.519793e+000
1.968821485661908e-004	2.548680e+000
2.065964342804765e-004	2.568601e+000
2.163107199947621e-004	2.579556e+000
2.255964342804765e-004	2.589862e+000
2.348821485661910e-004	2.596878e+000
2.441678628519054e-004	2.600603e+000
2.534535771376198e-004	2.601039e+000
2.627392914233342e-004	2.598184e+000
2.720250057090486e-004	2.592040e+000
2.813107199947630e-004	2.582605e+000
2.823107199947630e-004	2.581354e+000
2.920250057090490e-004	2.570880e+000
3.017392914233349e-004	2.551721e+000
3.114535771376208e-004	2.523877e+000
3.211678628519068e-004	2.487347e+000
3.308821485661928e-004	2.442132e+000
3.405964342804787e-004	2.388232e+000
3.503107199947647e-004	2.325647e+000
3.563107199947648e-004	2.270851e+000
3.623107199947650e-004	2.210426e+000
3.683107199947651e-004	2.144372e+000
3.743107199947652e-004	2.072688e+000
3.803107199947654e-004	1.995376e+000
3.863107199947655e-004	1.912434e+000
3.923107199947657e-004	1.823862e+000
3.943107199947657e-004	1.795165e+000
3.953107199947658e-004	1.780717e+000
3.963107199947658e-004	1.766199e+000
3.973107199947658e-004	1.751612e+000
3.983107199947658e-004	1.736956e+000
3.993107199947658e-004	1.722230e+000
4.003107199947659e-004	1.707438e+000
4.013107199947659e-004	1.692577e+000
4.023107199947659e-004	1.677650e+000
4.033107199947659e-004	1.662656e+000
4.043107199947660e-004	1.647597e+000
4.053107199947660e-004	1.632473e+000
4.063107199947660e-004	1.617285e+000
4.073107199947660e-004	1.602032e+000
4.083107199947661e-004	1.586716e+000
4.093107199947661e-004	1.571338e+000
4.103107199947661e-004	1.555898e+000
4.113107199947661e-004	1.540396e+000
4.123107199947662e-004	1.524833e+000
